metadata.description	BAD_Q	"Batumi i?letmeleri i?in do?rudan rezervasyon, yerel SEO, ba?vuru ak??lar? ve foto?raf y?nlendirmesiyle kurucu liderli?inde web tasar?m?."	"Founder-led web design, local SEO, booking flows, and photography direction for service businesses in Batumi, Georgia."
hero.subtitle	BAD_Q	"Batumi i?letmeleri i?in h?zl?, ?ok dilli, yerel SEO odakl?, rezervasyon ve ba?vuru ak??lar? g??l? web siteleri kuruyorum."	"I build fast multilingual websites with local SEO, booking flows, and photography direction for Batumi businesses that cannot afford to look generic."
hero.proof_band.1	BAD_Q	"Foto?raf?? destekli"	"Photographer-supported"
hero.stats.countries.label	BAD_Q	"foto?raf?? partner"	"photography partner"
founder.body	BAD_Q	"Yourtimestudio Batumi merkezli tek ki?ilik web st?dyom. Strateji, UX, kod, SEO ve yay?n? do?rudan ben y?netirim; ?zg?n g?rsel gereken projelerde profesyonel foto?raf?? destek olur."	"I run Yourtimestudio as a one-person web studio in Batumi. I handle strategy, UX, code, SEO, and launch directly; a professional photographer supports projects that need original visual work."
founder.sectionLabel	BAD_Q	"Nas?l ?al???r?m."	"How I work."
founder.founder.sectionLabel	BAD_Q	"Nas?l ?al???r?m."	"How I work."
founder.founder.bio	BAD_Q	"Strateji, tasar?m, kod, SEO ve yay?n s?recinde do?rudan benimle ?al???rs?n?z. Proje ?zg?n g?rsel gerektirirse stok g?r?nt? yerine profesyonel foto?raf?? deste?i planlan?r."	"Yourtimestudio is my founder-led web studio in Batumi. You work directly with me on strategy, design, code, SEO, and launch. When the project needs original visuals, I bring in a professional photographer instead of relying on generic stock images."
founder.features.heading	BAD_Q	"K???k st?dyo, dikkatli ?retim"	"Small studio, senior attention"
founder.features.items.1.desc	BAD_Q	"Sayfalar g??l? ?zg?n g?rseller etraf?nda planlan?r; gerekti?inde foto?raf?? deste?i eklenir."	"Pages are planned around strong original images, with a professional photographer available when needed."
aboutPage.story_body_1	SAME_EN	"Yourtimestudio is a focused one-person web studio in Batumi. I work directly on strategy, UX, code, SEO, launch, and support instead of passing the project through layers of account management."	"Yourtimestudio is a focused one-person web studio in Batumi. I work directly on strategy, UX, code, SEO, launch, and support instead of passing the project through layers of account management."
aboutPage.story_body_2	SAME_EN	"For projects that need stronger visuals, I plan the website around an original shot list and bring in a professional photographer. The goal is simple: a site that feels specific to your business, not like a template with new colors."	"For projects that need stronger visuals, I plan the website around an original shot list and bring in a professional photographer. The goal is simple: a site that feels specific to your business, not like a template with new colors."
aboutPage.why_batumi_body_1	SAME_EN	"Batumi is growing as a hospitality, medical, and service-business market, but many local websites still make booking, trust, and multilingual communication harder than they need to be."	"Batumi is growing as a hospitality, medical, and service-business market, but many local websites still make booking, trust, and multilingual communication harder than they need to be."
aboutPage.why_batumi_body_2	SAME_EN	"That gap is where I work: practical websites that make the business easier to find, easier to understand, and easier to contact."	"That gap is where I work: practical websites that make the business easier to find, easier to understand, and easier to contact."
aboutPage.tools.0.category	SAME_EN	"framework"	"framework"
aboutPage.tools.1.category	SAME_EN	"language"	"language"
aboutPage.tools.2.category	SAME_EN	"styling"	"styling"
aboutPage.tools.3.category	SAME_EN	"hosting"	"hosting"
aboutPage.tools.4.category	SAME_EN	"database"	"database"
aboutPage.tools.5.category	SAME_EN	"forms"	"forms"
aboutPage.tools.6.category	SAME_EN	"validation"	"validation"
aboutPage.tools.8.category	SAME_EN	"animation"	"animation"
aboutPage.tools.9.category	SAME_EN	"components"	"components"
contactPage.subtitle	SAME_EN	"Tell me about your project and I'll get back to you within one business day."	"Tell me about your project and I'll get back to you within one business day."
contactPage.form.message_required	SAME_EN	"Please tell me about your project"	"Please tell me about your project"
contactPage.form.error_default	SAME_EN	"Could not send your inquiry. Please try again or email me directly."	"Could not send your inquiry. Please try again or email me directly."
contactPage.form.success_title	SAME_EN	"Thank you"	"Thank you"
contactPage.form.success_body	SAME_EN	"Your inquiry has been received. I'll get back to you within one business day."	"Your inquiry has been received. I'll get back to you within one business day."
contactPage.form.success_meta	SAME_EN	"Typical response time: under 24 hours"	"Typical response time: under 24 hours"
contactPage.languages.0	SAME_EN	"English"	"English"
contactPage.languages.1	SAME_EN	"Georgian"	"Georgian"
contactPage.languages.2	SAME_EN	"Russian"	"Russian"
contactPage.languages.3	SAME_EN	"Turkish"	"Turkish"
contactPage.info_heading	SAME_EN	"Other ways to reach me"	"Other ways to reach me"
contactPage.info_email	SAME_EN	"hello@yourtimestudio.com"	"hello@yourtimestudio.com"
contact.languages.0	SAME_EN	"English"	"English"
contact.languages.1	SAME_EN	"Georgian"	"Georgian"
contact.languages.2	SAME_EN	"Russian"	"Russian"
contact.languages.3	SAME_EN	"Turkish"	"Turkish"
results.sectionLabel	SAME_EN	"Launch system."	"Launch system."
results.heading	SAME_EN	"What every project has to cover"	"What every project has to cover"
results.items.strategy.title	SAME_EN	"Clear offer structure"	"Clear offer structure"
results.items.strategy.body	SAME_EN	"Pages, service hierarchy, and calls to action mapped before design work starts."	"Pages, service hierarchy, and calls to action mapped before design work starts."
results.items.copy.title	SAME_EN	"Conversion copy"	"Conversion copy"
results.items.copy.body	SAME_EN	"Headlines and page sections written around bookings, inquiries, and patient or guest trust."	"Headlines and page sections written around bookings, inquiries, and patient or guest trust."
results.items.photography.title	SAME_EN	"Visual direction"	"Visual direction"
results.items.photography.body	SAME_EN	"Shot lists and image priorities so the site can use real local visuals instead of generic stock."	"Shot lists and image priorities so the site can use real local visuals instead of generic stock."
results.items.deployment.title	SAME_EN	"Hostinger-ready launch"	"Hostinger-ready launch"
results.items.deployment.body	SAME_EN	"Build output, redirects, metadata, analytics consent, and basic technical SEO checked before handoff."	"Build output, redirects, metadata, analytics consent, and basic technical SEO checked before handoff."
results.subtitle	SAME_EN	"The deliverable is not just a prettier homepage. It is a practical launch package built around visibility, trust, and inquiry flow."	"The deliverable is not just a prettier homepage. It is a practical launch package built around visibility, trust, and inquiry flow."
auditPage.rubric.items.speed.points.1	SAME_EN	"Core Web Vitals (LCP, FID, CLS)"	"Core Web Vitals (LCP, FID, CLS)"
auditPage.rubric.items.conversion.points.0	SAME_EN	"Booking & contact flow clarity"	"Booking & contact flow clarity"
auditPage.rubric.items.conversion.points.1	SAME_EN	"Call-to-action placement"	"Call-to-action placement"
auditPage.rubric.items.conversion.points.2	SAME_EN	"Trust signals & credible proof"	"Trust signals & credible proof"
auditPage.sampleFindings.items.hospitality.finding	SAME_EN	"Common issue: hotel sites hide room value, booking paths, and local search signals behind slow image-heavy pages."	"Common issue: hotel sites hide room value, booking paths, and local search signals behind slow image-heavy pages."
auditPage.sampleFindings.items.medical.finding	SAME_EN	"Common issue: clinic sites often miss doctor profiles, service schema, and clear paths for international patients."	"Common issue: clinic sites often miss doctor profiles, service schema, and clear paths for international patients."
auditPage.sampleFindings.items.beauty.finding	SAME_EN	"Common issue: salons and studios rely on social DMs while their websites do not make booking obvious enough."	"Common issue: salons and studios rely on social DMs while their websites do not make booking obvious enough."
auditPage.form.success	SAME_EN	"Your audit request has been received. I'll be in touch within 3 business days."	"Your audit request has been received. I'll be in touch within 3 business days."
workPage.heading	SAME_EN	"Work directions"	"Work directions"
workPage.subtitle	SAME_EN	"Demo briefs and project directions until real client work is ready to publish."	"Demo briefs and project directions until real client work is ready to publish."
workPage.items.0.sector	SAME_EN	"Hospitality"	"Hospitality"
workPage.items.0.title	SAME_EN	"Boutique hotel booking concept"	"Boutique hotel booking concept"
workPage.items.0.description	SAME_EN	"A direct-booking website direction for a Batumi seafront hotel: rooms, trust signals, multilingual SEO, and fewer OTA dependencies."	"A direct-booking website direction for a Batumi seafront hotel: rooms, trust signals, multilingual SEO, and fewer OTA dependencies."
workPage.items.1.sector	SAME_EN	"Medical"	"Medical"
workPage.items.1.title	SAME_EN	"Dental clinic trust platform"	"Dental clinic trust platform"
workPage.items.1.description	SAME_EN	"A multilingual clinic direction with doctor profiles, treatment pages, patient FAQs, and structured data for medical search."	"A multilingual clinic direction with doctor profiles, treatment pages, patient FAQs, and structured data for medical search."
workPage.items.2.sector	SAME_EN	"Beauty"	"Beauty"
workPage.items.2.title	SAME_EN	"Studio appointment flow"	"Studio appointment flow"
