metadata.title	BAD_QWRONG_SCRIPT	"Yourtimestudio - ????? ??? ?????? ???????????? ? ?????? ? ??????"	"Yourtimestudio - Direct-booking websites for Batumi hotels, clinics, and studios"
metadata.description	BAD_QWRONG_SCRIPT	"???? ??? ???? ?? ?????????? ??????: ????????? SEO, ????? ??????, ???????????? ? ?????????? ??????????? ??? ??????? ? ??????."	"Founder-led web design, local SEO, booking flows, and photography direction for service businesses in Batumi, Georgia."
hero.eyebrow	BAD_Q	"???-?????? ? ??????"	"Founder-led Batumi web studio"
hero.title	BAD_Q	"????? ??? ??????, ?????? ? ?????? ? ??????"	"Direct-booking websites for Batumi hotels, clinics, and studios"
hero.subtitle	BAD_QWRONG_SCRIPT	"? ?????? ??????? ???????????? ????? ? ????????? SEO, ????????? ????????, ????????????? ? ??????????? ??????????? ??? ???????, ???????? ?????? ????????? ????????."	"I build fast multilingual websites with local SEO, booking flows, and photography direction for Batumi businesses that cannot afford to look generic."
hero.cta_primary	BAD_Q	"????????? ????? ?????"	"Request a website audit"
hero.cta_secondary	BAD_Q	"???????? ???????"	"See sector plans"
hero.getQuote	BAD_Q	"????????? ????"	"Get quote"
hero.proof_band.0	BAD_Q	"?????? ????????"	"Founder-led"
hero.proof_band.1	BAD_Q	"????????? ?????????"	"Photographer-supported"
hero.proof_band.2	BAD_Q	"???????????"	"Multilingual"
hero.proof_band.3	BAD_QWRONG_SCRIPT	"?????? ??? Hostinger"	"Hostinger-ready"
hero.sectionLabel	BAD_Q	"???-?????? ? ??????."	"Founder-led Batumi web studio."
hero.title1	BAD_Q	"????? ??? ?????? ??????:"	"Direct booking websites for"
hero.title2	BAD_Q	"?????, ??????? ? ??????"	"hotels, clinics & studios"
hero.typewriter.hotel	BAD_Q	"????? ??? ???????????? ??????"	"Booking-ready hotel websites"
hero.typewriter.clinic	BAD_Q	"????? ??????? ??? ??????"	"Trust-focused clinic websites"
hero.typewriter.salon	BAD_Q	"????? ??? ?????? ? ?????? ???????"	"Appointment-focused beauty websites"
hero.stats.clients.label	BAD_Q	"???????? ????"	"core sectors"
hero.stats.languages.label	BAD_Q	"????? ? ?????"	"languages planned"
hero.stats.industries.label	BAD_Q	"????"	"sectors"
hero.stats.countries.label	BAD_Q	"????????-???????"	"photography partner"
founder.heading	BAD_Q	"?????? ?????????? ? ?????????? ?????????"	"Founder-led, with specialist photography support"
founder.body	BAD_QWRONG_SCRIPT	"Yourtimestudio - ??? ????????? ???-?????? ? ??????. ? ????? ???? ?????????, UX, ???, SEO ? ??????; ???????????????? ???????? ????????????, ????? ??????? ????? ???????????? ???????."	"I run Yourtimestudio as a one-person web studio in Batumi. I handle strategy, UX, code, SEO, and launch directly; a professional photographer supports projects that need original visual work."
founder.cta	BAD_Q	"? ??????"	"About the studio"
founder.sectionLabel	BAD_Q	"??? ? ???????."	"How I work."
founder.founder.sectionLabel	BAD_Q	"??? ? ???????."	"How I work."
founder.founder.heading	BAD_Q	"???? ????????????? ???????????. ??????????? ???????????? ???, ??? ??? ?????."	"One accountable builder. Specialist support where it matters."
founder.founder.bio	BAD_QWRONG_SCRIPT	"?? ????????? ???????? ?? ????: ?????????, ??????, ???, SEO ? ??????. ???? ??????? ????? ???????????? ???????????, ? ????????? ????????????????? ????????? ?????? ????????? ???????? ????."	"Yourtimestudio is my founder-led web studio in Batumi. You work directly with me on strategy, design, code, SEO, and launch. When the project needs original visuals, I bring in a professional photographer instead of relying on generic stock images."
founder.founder.location	BAD_Q	"??????"	"Based in Batumi"
founder.founder.since	BAD_Q	"?????????? ???????"	"Selected projects"
founder.founder.cta	BAD_Q	"?????? ??????"	"Start your project"
founder.founder.statClients	BAD_Q	"???????? ????"	"Core sectors"
founder.founder.statLanguages	BAD_Q	"????? ? ?????"	"Languages planned"
founder.founder.statAvailable	BAD_Q	"???? ?????????? ???????"	"Taking selected projects"
founder.features.sectionLabel	BAD_Q	"?????? ??? ????????."	"Why this model works."
founder.features.heading	BAD_Q	"????????? ??????, ???????????? ??????"	"Small studio, senior attention"
founder.features.items.0.title	BAD_Q	"?????? ???????"	"One direct contact"
founder.features.items.0.desc	BAD_Q	"?? ????????? ? ?????????, ??????? ?????????, ???????????, ????? ??? ? ????????? ????."	"You speak with the person planning, designing, coding, and launching the site."
founder.features.items.1.title	BAD_Q	"?????????? ? ??????"	"Photography-ready"
founder.features.items.1.desc	BAD_Q	"???????? ????????????? ?????? ??????? ???????????? ????, ? ?????????? ??? ?????????????."	"Pages are planned around strong original images, with a professional photographer available when needed."
founder.features.items.2.title	BAD_Q	"???????? ???????"	"Performance first"
founder.features.items.2.desc	BAD_QWRONG_SCRIPT	"?????? ???????? Next.js, ??????????? ????? ? ???????? ???? Core Web Vitals."	"Lean Next.js pages, optimized media, and clear Core Web Vitals targets from the start."
founder.features.items.3.title	BAD_QWRONG_SCRIPT	"????????? SEO"	"Local SEO built in"
founder.features.items.3.desc	BAD_QWRONG_SCRIPT	"Schema, ???????? ????? ? ????????? ????????? ??????? ??????????? ?? ???????."	"Business schema, service pages, and local search copy are planned before launch."
aboutPage.story_body_1	SAME_ENWRONG_SCRIPT	"Yourtimestudio is a focused one-person web studio in Batumi. I work directly on strategy, UX, code, SEO, launch, and support instead of passing the project through layers of account management."	"Yourtimestudio is a focused one-person web studio in Batumi. I work directly on strategy, UX, code, SEO, launch, and support instead of passing the project through layers of account management."
aboutPage.story_body_2	SAME_ENWRONG_SCRIPT	"For projects that need stronger visuals, I plan the website around an original shot list and bring in a professional photographer. The goal is simple: a site that feels specific to your business, not like a template with new colors."	"For projects that need stronger visuals, I plan the website around an original shot list and bring in a professional photographer. The goal is simple: a site that feels specific to your business, not like a template with new colors."
aboutPage.why_batumi_body_1	SAME_ENWRONG_SCRIPT	"Batumi is growing as a hospitality, medical, and service-business market, but many local websites still make booking, trust, and multilingual communication harder than they need to be."	"Batumi is growing as a hospitality, medical, and service-business market, but many local websites still make booking, trust, and multilingual communication harder than they need to be."
aboutPage.why_batumi_body_2	SAME_ENWRONG_SCRIPT	"That gap is where I work: practical websites that make the business easier to find, easier to understand, and easier to contact."	"That gap is where I work: practical websites that make the business easier to find, easier to understand, and easier to contact."
aboutPage.tools.0.category	SAME_ENWRONG_SCRIPT	"framework"	"framework"
aboutPage.tools.1.category	SAME_ENWRONG_SCRIPT	"language"	"language"
aboutPage.tools.2.category	SAME_ENWRONG_SCRIPT	"styling"	"styling"
aboutPage.tools.3.category	SAME_ENWRONG_SCRIPT	"hosting"	"hosting"
aboutPage.tools.4.category	SAME_ENWRONG_SCRIPT	"database"	"database"
aboutPage.tools.5.category	SAME_ENWRONG_SCRIPT	"forms"	"forms"
aboutPage.tools.6.category	SAME_ENWRONG_SCRIPT	"validation"	"validation"
aboutPage.tools.7.category	WRONG_SCRIPT	"i18n"	"i18n"
aboutPage.tools.8.category	SAME_ENWRONG_SCRIPT	"animation"	"animation"
aboutPage.tools.9.category	SAME_ENWRONG_SCRIPT	"components"	"components"
contactPage.subtitle	SAME_ENWRONG_SCRIPT	"Tell me about your project and I'll get back to you within one business day."	"Tell me about your project and I'll get back to you within one business day."
contactPage.form.message_required	SAME_ENWRONG_SCRIPT	"Please tell me about your project"	"Please tell me about your project"
contactPage.form.error_default	SAME_ENWRONG_SCRIPT	"Could not send your inquiry. Please try again or email me directly."	"Could not send your inquiry. Please try again or email me directly."
contactPage.form.success_title	SAME_ENWRONG_SCRIPT	"Thank you"	"Thank you"
contactPage.form.success_body	SAME_ENWRONG_SCRIPT	"Your inquiry has been received. I'll get back to you within one business day."	"Your inquiry has been received. I'll get back to you within one business day."
contactPage.form.success_meta	SAME_ENWRONG_SCRIPT	"Typical response time: under 24 hours"	"Typical response time: under 24 hours"
contactPage.info_heading	SAME_ENWRONG_SCRIPT	"Other ways to reach me"	"Other ways to reach me"
contactPage.info_email	SAME_ENWRONG_SCRIPT	"hello@yourtimestudio.com"	"hello@yourtimestudio.com"
results.sectionLabel	SAME_ENWRONG_SCRIPT	"Launch system."	"Launch system."
results.heading	SAME_ENWRONG_SCRIPT	"What every project has to cover"	"What every project has to cover"
results.items.strategy.title	SAME_ENWRONG_SCRIPT	"Clear offer structure"	"Clear offer structure"
results.items.strategy.body	SAME_ENWRONG_SCRIPT	"Pages, service hierarchy, and calls to action mapped before design work starts."	"Pages, service hierarchy, and calls to action mapped before design work starts."
results.items.copy.title	SAME_ENWRONG_SCRIPT	"Conversion copy"	"Conversion copy"
results.items.copy.body	SAME_ENWRONG_SCRIPT	"Headlines and page sections written around bookings, inquiries, and patient or guest trust."	"Headlines and page sections written around bookings, inquiries, and patient or guest trust."
results.items.photography.title	SAME_ENWRONG_SCRIPT	"Visual direction"	"Visual direction"
results.items.photography.body	SAME_ENWRONG_SCRIPT	"Shot lists and image priorities so the site can use real local visuals instead of generic stock."	"Shot lists and image priorities so the site can use real local visuals instead of generic stock."
results.items.deployment.title	SAME_ENWRONG_SCRIPT	"Hostinger-ready launch"	"Hostinger-ready launch"
results.items.deployment.body	SAME_ENWRONG_SCRIPT	"Build output, redirects, metadata, analytics consent, and basic technical SEO checked before handoff."	"Build output, redirects, metadata, analytics consent, and basic technical SEO checked before handoff."
results.subtitle	SAME_ENWRONG_SCRIPT	"The deliverable is not just a prettier homepage. It is a practical launch package built around visibility, trust, and inquiry flow."	"The deliverable is not just a prettier homepage. It is a practical launch package built around visibility, trust, and inquiry flow."
auditPage.rubric.items.speed.points.1	SAME_ENWRONG_SCRIPT	"Core Web Vitals (LCP, FID, CLS)"	"Core Web Vitals (LCP, FID, CLS)"
auditPage.rubric.items.conversion.points.0	SAME_ENWRONG_SCRIPT	"Booking & contact flow clarity"	"Booking & contact flow clarity"
auditPage.rubric.items.conversion.points.1	SAME_ENWRONG_SCRIPT	"Call-to-action placement"	"Call-to-action placement"
auditPage.rubric.items.conversion.points.2	SAME_ENWRONG_SCRIPT	"Trust signals & credible proof"	"Trust signals & credible proof"
auditPage.sampleFindings.items.hospitality.finding	SAME_ENWRONG_SCRIPT	"Common issue: hotel sites hide room value, booking paths, and local search signals behind slow image-heavy pages."	"Common issue: hotel sites hide room value, booking paths, and local search signals behind slow image-heavy pages."
auditPage.sampleFindings.items.medical.finding	SAME_ENWRONG_SCRIPT	"Common issue: clinic sites often miss doctor profiles, service schema, and clear paths for international patients."	"Common issue: clinic sites often miss doctor profiles, service schema, and clear paths for international patients."
auditPage.sampleFindings.items.beauty.finding	SAME_ENWRONG_SCRIPT	"Common issue: salons and studios rely on social DMs while their websites do not make booking obvious enough."	"Common issue: salons and studios rely on social DMs while their websites do not make booking obvious enough."
auditPage.form.success	SAME_ENWRONG_SCRIPT	"Your audit request has been received. I'll be in touch within 3 business days."	"Your audit request has been received. I'll be in touch within 3 business days."
